order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
49,40,Cancelled,F,2024-04-04 04:15:00+00:00,,,,1
50,40,Cancelled,F,2024-03-12 04:15:00+00:00,,,,1
59,47,Cancelled,F,2024-07-19 11:18:00+00:00,,,,1
97,78,Cancelled,F,2024-02-16 05:27:00+00:00,,,,1
134,105,Cancelled,F,2024-08-14 00:49:00+00:00,,,,1
164,122,Cancelled,F,2024-02-24 11:32:00+00:00,,,,1
184,140,Cancelled,F,2024-07-25 12:07:00+00:00,,,,1
205,156,Cancelled,F,2024-04-24 12:48:00+00:00,,,,1
212,163,Cancelled,F,2024-03-13 12:00:00+00:00,,,,1
228,175,Cancelled,F,2024-05-30 03:10:00+00:00,,,,2
229,176,Cancelled,F,2024-08-27 08:49:00+00:00,,,,1
235,181,Cancelled,F,2024-07-13 03:15:00+00:00,,,,2
240,184,Cancelled,F,2024-05-19 17:05:00+00:00,,,,2
276,210,Cancelled,F,2024-01-23 16:05:00+00:00,,,,1
309,234,Cancelled,F,2024-02-22 03:44:00+00:00,,,,1
424,326,Cancelled,F,2024-08-30 06:17:00+00:00,,,,2
427,326,Cancelled,F,2024-08-31 06:17:00+00:00,,,,1
437,335,Cancelled,F,2024-07-31 02:59:00+00:00,,,,2
471,363,Cancelled,F,2024-08-27 14:28:00+00:00,,,,1
494,385,Cancelled,F,2024-08-07 15:41:00+00:00,,,,2
504,390,Cancelled,F,2024-02-16 10:02:00+00:00,,,,2
538,416,Cancelled,F,2024-07-31 12:04:00+00:00,,,,2
558,429,Cancelled,F,2024-05-13 11:14:00+00:00,,,,1
583,456,Cancelled,F,2024-05-07 06:37:00+00:00,,,,3
619,493,Cancelled,F,2024-08-03 09:16:00+00:00,,,,2
655,525,Cancelled,F,2024-08-29 04:52:00+00:00,,,,1
793,638,Cancelled,F,2024-06-17 09:02:00+00:00,,,,2
856,690,Cancelled,F,2024-02-20 13:18:00+00:00,,,,2
916,732,Cancelled,F,2024-08-21 11:11:00+00:00,,,,1
927,741,Cancelled,F,2024-02-13 03:18:00+00:00,,,,1
937,752,Cancelled,F,2024-06-10 07:20:00+00:00,,,,1
945,759,Cancelled,F,2024-04-21 05:29:00+00:00,,,,1
953,768,Cancelled,F,2024-02-13 11:05:00+00:00,,,,1
1011,830,Cancelled,F,2024-07-02 16:39:00+00:00,,,,1
1052,862,Cancelled,F,2024-06-13 10:52:00+00:00,,,,1
1072,884,Cancelled,F,2024-02-21 15:32:00+00:00,,,,1
1089,904,Cancelled,F,2024-02-14 06:10:00+00:00,,,,2
1124,933,Cancelled,F,2024-08-15 06:52:00+00:00,,,,1
1152,959,Cancelled,F,2024-08-07 12:01:00+00:00,,,,2
1172,984,Cancelled,F,2024-06-27 04:55:00+00:00,,,,1
1185,998,Cancelled,F,2024-07-28 14:14:00+00:00,,,,1
1289,1084,Cancelled,F,2024-07-29 11:19:00+00:00,,,,1
1300,1091,Cancelled,F,2024-06-02 02:50:00+00:00,,,,2
1302,1092,Cancelled,F,2024-01-12 05:13:00+00:00,,,,1
1311,1099,Cancelled,F,2024-04-06 09:44:00+00:00,,,,1
1338,1123,Cancelled,F,2024-05-02 11:39:00+00:00,,,,2
1350,1130,Cancelled,F,2024-07-21 17:13:00+00:00,,,,1
1351,1130,Cancelled,F,2024-08-30 17:13:00+00:00,,,,2
1399,1162,Cancelled,F,2024-02-19 11:50:00+00:00,,,,2
1500,1247,Cancelled,F,2024-07-08 03:34:00+00:00,,,,1
1509,1256,Cancelled,F,2024-04-24 14:31:00+00:00,,,,1
1540,1286,Cancelled,F,2024-07-26 18:08:00+00:00,,,,1
1597,1330,Cancelled,F,2024-01-04 03:20:00+00:00,,,,1
1606,1336,Cancelled,F,2024-06-30 05:20:00+00:00,,,,1
1625,1352,Cancelled,F,2024-04-02 17:45:00+00:00,,,,2
1771,1465,Cancelled,F,2024-07-31 05:02:00+00:00,,,,3
1842,1511,Cancelled,F,2024-03-08 16:26:00+00:00,,,,2
1943,1586,Cancelled,F,2024-01-08 10:34:00+00:00,,,,2
1958,1603,Cancelled,F,2024-05-23 14:07:00+00:00,,,,1
2011,1652,Cancelled,F,2024-07-04 11:29:00+00:00,,,,1
2027,1666,Cancelled,F,2024-07-08 02:49:00+00:00,,,,1
2046,1684,Cancelled,F,2024-04-25 16:13:00+00:00,,,,2
2055,1691,Cancelled,F,2024-02-18 08:24:00+00:00,,,,2
2056,1691,Cancelled,F,2024-05-17 08:24:00+00:00,,,,1
2057,1691,Cancelled,F,2024-02-11 08:24:00+00:00,,,,1
2187,1803,Cancelled,F,2024-02-07 13:11:00+00:00,,,,1
2229,1830,Cancelled,F,2024-06-07 09:37:00+00:00,,,,1
2262,1863,Cancelled,F,2024-04-27 08:48:00+00:00,,,,1
2287,1885,Cancelled,F,2024-08-20 01:54:00+00:00,,,,1
2393,1992,Cancelled,F,2024-04-08 14:43:00+00:00,,,,2
2483,2069,Cancelled,F,2024-02-16 05:58:00+00:00,,,,1
2609,2167,Cancelled,F,2024-06-01 04:05:00+00:00,,,,1
2717,2255,Cancelled,F,2024-05-07 01:28:00+00:00,,,,2
2744,2281,Cancelled,F,2024-08-11 14:43:00+00:00,,,,1
2748,2284,Cancelled,F,2024-05-21 01:14:00+00:00,,,,1
2752,2288,Cancelled,F,2024-06-09 16:58:00+00:00,,,,2
2798,2317,Cancelled,F,2024-01-15 12:54:00+00:00,,,,2
2802,2321,Cancelled,F,2024-05-21 09:28:00+00:00,,,,1
2829,2338,Cancelled,F,2024-05-13 15:11:00+00:00,,,,1
2852,2356,Cancelled,F,2024-08-18 08:23:00+00:00,,,,2
2865,2371,Cancelled,F,2024-08-09 14:58:00+00:00,,,,1
2926,2414,Cancelled,F,2024-07-19 17:05:00+00:00,,,,1
2948,2432,Cancelled,F,2024-08-30 13:34:00+00:00,,,,1
2949,2432,Cancelled,F,2024-01-31 13:34:00+00:00,,,,3
3152,2579,Cancelled,F,2024-01-01 14:52:00+00:00,,,,1
3178,2595,Cancelled,F,2024-03-27 11:03:00+00:00,,,,1
3258,2662,Cancelled,F,2024-02-03 13:22:00+00:00,,,,1
3260,2662,Cancelled,F,2024-02-07 13:22:00+00:00,,,,1
3299,2696,Cancelled,F,2024-01-03 15:26:00+00:00,,,,4
3381,2765,Cancelled,F,2024-08-23 01:33:00+00:00,,,,1
3407,2783,Cancelled,F,2024-08-31 07:24:00+00:00,,,,1
3457,2816,Cancelled,F,2024-06-13 16:15:00+00:00,,,,4
3523,2874,Cancelled,F,2024-06-24 04:05:00+00:00,,,,1
3582,2927,Cancelled,F,2024-02-06 10:13:00+00:00,,,,2
3598,2940,Cancelled,F,2024-06-27 05:51:00+00:00,,,,1
3625,2966,Cancelled,F,2024-08-07 16:45:00+00:00,,,,1
3668,3000,Cancelled,F,2024-06-15 13:13:00+00:00,,,,4
3681,3010,Cancelled,F,2024-06-11 08:09:00+00:00,,,,1
3683,3011,Cancelled,F,2024-07-25 10:50:00+00:00,,,,1
3823,3120,Cancelled,F,2024-04-30 09:36:00+00:00,,,,1
3827,3124,Cancelled,F,2024-03-02 02:37:00+00:00,,,,1
